customer_id,customer_fname,customer_lname,customer_email,customer_password,customer_segment_id,customer_address_id
1,Richard,Hernandez,XXXXXXXXX,XXXXXXXXX,1,9964
2,Mary,Barrett,XXXXXXXXX,XXXXXXXXX,1,15637
3,Ann,Smith,XXXXXXXXX,XXXXXXXXX,1,4333
4,Mary,Jones,XXXXXXXXX,XXXXXXXXX,1,13474
5,Robert,Hudson,XXXXXXXXX,XXXXXXXXX,3,9
6,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1,3820
7,Melissa,Wilcox,XXXXXXXXX,XXXXXXXXX,2,15513
8,Megan,Smith,XXXXXXXXX,XXXXXXXXX,2,3638
9,Mary,Perez,XXXXXXXXX,XXXXXXXXX,1,4724
10,Melissa,Smith,XXXXXXXXX,XXXXXXXXX,2,13974
11,Mary,Huffman,XXXXXXXXX,XXXXXXXXX,1,3844
12,Christopher,Smith,XXXXXXXXX,XXXXXXXXX,2,8665
13,Mary,Baldwin,XXXXXXXXX,XXXXXXXXX,3,12887
14,Katherine,Smith,XXXXXXXXX,XXXXXXXXX,2,8771
15,Jane,Luna,XXXXXXXXX,XXXXXXXXX,2,10753
16,Tiffany,Smith,XXXXXXXXX,XXXXXXXXX,2,10612
17,Mary,Robinson,XXXXXXXXX,XXXXXXXXX,1,657
18,Robert,Smith,XXXXXXXXX,XXXXXXXXX,1,3188
19,Stephanie,Mitchell,XXXXXXXXX,XXXXXXXXX,3,4542
20,Mary,Ellis,XXXXXXXXX,XXXXXXXXX,1,6893
21,William,Zimmerman,XXXXXXXXX,XXXXXXXXX,1,4179
22,Joseph,Smith,XXXXXXXXX,XXXXXXXXX,2,12432
23,Benjamin,Duarte,XXXXXXXXX,XXXXXXXXX,2,14419
24,Mary,Smith,XXXXXXXXX,XXXXXXXXX,3,15446
25,Paul,Richardson,XXXXXXXXX,XXXXXXXXX,3,3887
26,Johnny,Hood,XXXXXXXXX,XXXXXXXXX,1,15722
27,Mary,Vincent,XXXXXXXXX,XXXXXXXXX,1,1402
28,Timothy,Smith,XXXXXXXXX,XXXXXXXXX,1,15328
29,Mary,Humphrey,XXXXXXXXX,XXXXXXXXX,1,2722
30,Barbara,Smith,XXXXXXXXX,XXXXXXXXX,3,2691
31,Mary,Byrd,XXXXXXXXX,XXXXXXXXX,1,13308
32,Alice,Smith,XXXXXXXXX,XXXXXXXXX,2,2087
33,Adam,Petersen,XXXXXXXXX,XXXXXXXXX,1,16138
34,Mary,Smith,XXXXXXXXX,XXXXXXXXX,2,4195
35,Margaret,Wright,XXXXXXXXX,XXXXXXXXX,1,15525
36,Michelle,Carey,XXXXXXXXX,XXXXXXXXX,2,10056
37,Virginia,Conrad,XXXXXXXXX,XXXXXXXXX,1,9575
38,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1,3305
39,Juan,Mckinney,XXXXXXXXX,XXXXXXXXX,1,11587
40,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1,11737
41,Victoria,Mason,XXXXXXXXX,XXXXXXXXX,1,12783
42,Ethan,Smith,XXXXXXXXX,XXXXXXXXX,1,12033
43,Mary,Herring,XXXXXXXXX,XXXXXXXXX,2,6669
44,Howard,Smith,XXXXXXXXX,XXXXXXXXX,2,690
45,Mary,Nunez,XXXXXXXXX,XXXXXXXXX,1,501
46,Jennifer,Smith,XXXXXXXXX,XXXXXXXXX,1,8407
47,Lori,Fuller,XXXXXXXXX,XXXXXXXXX,3,4605
48,Mary,Cowan,XXXXXXXXX,XXXXXXXXX,1,85
49,Martha,Smith,XXXXXXXXX,XXXXXXXXX,1,11870
50,Mary,Kim,XXXXXXXXX,XXXXXXXXX,1,15345
51,Jessica,Smith,XXXXXXXXX,XXXXXXXXX,3,13523
52,Mary,Lawson,XXXXXXXXX,XXXXXXXXX,2,10323
53,Katherine,Smith,XXXXXXXXX,XXXXXXXXX,2,16086
54,Mary,Olson,XXXXXXXXX,XXXXXXXXX,3,11693
55,Janet,Farley,XXXXXXXXX,XXXXXXXXX,3,10353
56,Mary,Kaiser,XXXXXXXXX,XXXXXXXXX,1,12083
57,Mary,Smith,XXXXXXXXX,XXXXXXXXX,1,8806
58,Michael,Edwards,XXXXXXXXX,XXXXXXXXX,1,7039
59,Douglas,James,XXXXXXXXX,XXXXXXXXX,1,2437
60,Mary,Gutierrez,XXXXXXXXX,XXXXXXXXX,3,14068
61,Margaret,Summers,XXXXXXXXX,XXXXXXXXX,3,14661
62,Mary,Oneal,XXXXXXXXX,XXXXXXXXX,1,3050
